filename,st_mode,st_mode in oct,classic proprieties,st_ino,st_dev,st_nlink,st_uid,st_gid,st_size,st_atime,st_atime (yyyy-mm-dd hh:ii:ss),st_mtime,st_mtime (yyyy-mm-dd hh:ii:ss),st_ctime,st_ctime (yyyy-mm-dd hh:ii:ss)
.\.git\objects\ac\506feaca846477f912cbd6bd3c83255214da15,33060,0o100444,-r--r--r--,2251799815443567,3693933532,2,0,0,54,1589480864.161215,b'2020-05-14 18:27:44',1589480864.161215,b'2020-05-14 18:27:44',1589480864.161215,b'2020-05-14 18:27:44'
.\.git\objects\b0\2d8f975e29dfd80f20200bf0ea0bfaee472278,33060,0o100444,-r--r--r--,2251799815443737,3693933532,2,0,0,35111,1589480864.3177962,b'2020-05-14 18:27:44',1589480864.3177962,b'2020-05-14 18:27:44',1589480864.3158016,b'2020-05-14 18:27:44'
.\.git\objects\b0\a1c012db62e64413a27b0f4c44e47b98762c76,33060,0o100444,-r--r--r--,2251799815443755,3693933532,2,0,0,364,1589480864.3337536,b'2020-05-14 18:27:44',1589480864.3337536,b'2020-05-14 18:27:44',1589480864.3337536,b'2020-05-14 18:27:44'
.\.git\objects\b0\b75b57727f45dc93641a8f85eeeefc81520a06,33060,0o100444,-r--r--r--,2251799815443597,3693933532,2,0,0,54,1589480864.2041004,b'2020-05-14 18:27:44',1589480864.2041004,b'2020-05-14 18:27:44',1589480864.2041004,b'2020-05-14 18:27:44'
.\.git\objects\b1\b4aa43415cb91f68f37bd8e078adaa6c93644e,33060,0o100444,-r--r--r--,2251799815443685,3693933532,2,0,0,1289,1589480864.2679298,b'2020-05-14 18:27:44',1589480864.2679298,b'2020-05-14 18:27:44',1589480864.2679298,b'2020-05-14 18:27:44'
.\.git\objects\b4\48920181ff15eb3e47507fc028288904961941,33060,0o100444,-r--r--r--,2251799815443678,3693933532,2,0,0,50,1589480864.2599509,b'2020-05-14 18:27:44',1589480864.2599509,b'2020-05-14 18:27:44',1589480864.2599509,b'2020-05-14 18:27:44'
.\.git\objects\b7\98000b3ac6d855f6fbda65dca4dde9d01a70ae,33060,0o100444,-r--r--r--,2251799815443744,3693933532,2,0,0,2923,1589480864.3247774,b'2020-05-14 18:27:44',1589480864.3247774,b'2020-05-14 18:27:44',1589480864.3237815,b'2020-05-14 18:27:44'
.\.git\objects\c2\ee34101888fe83ed40825d2f00b814de653a7b,33060,0o100444,-r--r--r--,2251799815443718,3693933532,2,0,0,443,1589480864.288874,b'2020-05-14 18:27:44',1589480864.288874,b'2020-05-14 18:27:44',1589480864.288874,b'2020-05-14 18:27:44'
.\.git\objects\c5\6503ee584c15bbdeb4cdf61a93f331baa878a9,33060,0o100444,-r--r--r--,2251799815443663,3693933532,2,0,0,99,1589480864.2320256,b'2020-05-14 18:27:44',1589480864.2320256,b'2020-05-14 18:27:44',1589480864.2320256,b'2020-05-14 18:27:44'
.\.git\objects\cc\2ed07ccdd36ca021553fb7da50d09d235f9f9e,33060,0o100444,-r--r--r--,2251799815443732,3693933532,2,0,0,382,1589480864.3008425,b'2020-05-14 18:27:44',1589480864.3008425,b'2020-05-14 18:27:44',1589480864.3008425,b'2020-05-14 18:27:44'
