platform,filename,st_mode,st_mode in oct,classic proprieties,st_ino,st_dev,st_nlink,st_uid,st_gid,st_size,st_atime,st_atime (yyyy-mm-dd hh:ii:ss),st_mtime,st_mtime (yyyy-mm-dd hh:ii:ss),st_ctime,st_ctime (yyyy-mm-dd hh:ii:ss)
Windows,.\.git\objects\8e\db92f89dca5cfd8fbe3768398946b956272103,33060,0o100444,-r--r--r--,844424932073186,3693933532,2,0,0,50,1590224630.373195,b'2020-05-23 09:03:50',1590224630.373195,b'2020-05-23 09:03:50',1590224630.373195,b'2020-05-23 09:03:50'
Windows,.\.git\objects\91\f47e7d71ff5e073160d1de8ef00ab5ad06b441,33060,0o100444,-r--r--r--,1125899908783843,3693933532,2,0,0,130,1590224630.3841648,b'2020-05-23 09:03:50',1590224630.3841648,b'2020-05-23 09:03:50',1590224630.3841648,b'2020-05-23 09:03:50'
Windows,.\.git\objects\97\6ca61bf14c290aa391643fc34b63cb3d623ba1,33060,0o100444,-r--r--r--,1125899908783857,3693933532,2,0,0,54,1590224630.4586675,b'2020-05-23 09:03:50',1590224630.4586675,b'2020-05-23 09:03:50',1590224630.4586675,b'2020-05-23 09:03:50'
Windows,.\.git\objects\98\6f60e80789f1eb5e57ebbd3f8070569aead52c,33060,0o100444,-r--r--r--,1125899908783840,3693933532,2,0,0,55,1590224630.3632245,b'2020-05-23 09:03:50',1590224630.3632245,b'2020-05-23 09:03:50',1590224630.3622613,b'2020-05-23 09:03:50'
Windows,.\.git\objects\9d\4d47760ee844d35c7fd54af66b3ca41e08374b,33060,0o100444,-r--r--r--,1125899908783887,3693933532,2,0,0,3231,1590224630.6827717,b'2020-05-23 09:03:50',1590224630.6827717,b'2020-05-23 09:03:50',1590224630.6820016,b'2020-05-23 09:03:50'
Windows,.\.git\objects\a2\213becad5af645949749ccc51e21d68ffa4886,33060,0o100444,-r--r--r--,1125899908783831,3693933532,2,0,0,53,1590224630.317209,b'2020-05-23 09:03:50',1590224630.317209,b'2020-05-23 09:03:50',1590224630.31522,b'2020-05-23 09:03:50'
Windows,.\.git\objects\a3\feaab407b947c86451fc35fdc013884503e9d7,33060,0o100444,-r--r--r--,1125899908783808,3693933532,2,0,0,516,1590224630.182172,b'2020-05-23 09:03:50',1590224630.182172,b'2020-05-23 09:03:50',1590224630.1811748,b'2020-05-23 09:03:50'
Windows,.\.git\objects\a7\29c372b8f74c4249b21f0ef5a8e64b56785fa5,33060,0o100444,-r--r--r--,1125899908783812,3693933532,2,0,0,156,1590224630.2031176,b'2020-05-23 09:03:50',1590224630.2031176,b'2020-05-23 09:03:50',1590224630.2031176,b'2020-05-23 09:03:50'
Windows,.\.git\objects\a9\2d4b529b2e2de49d71c3336875cc1722d53cc8,33060,0o100444,-r--r--r--,1125899908783877,3693933532,2,0,0,1585,1590224630.6138563,b'2020-05-23 09:03:50',1590224630.6138563,b'2020-05-23 09:03:50',1590224630.6128585,b'2020-05-23 09:03:50'
Windows,.\.git\objects\ab\e559d7700a5ee2770c521c776ca5b1c009d5c3,33060,0o100444,-r--r--r--,1125899908783810,3693933532,2,0,0,163,1590224630.1911478,b'2020-05-23 09:03:50',1590224630.1911478,b'2020-05-23 09:03:50',1590224630.1911478,b'2020-05-23 09:03:50'
Windows,.\.git\objects\ac\506feaca846477f912cbd6bd3c83255214da15,33060,0o100444,-r--r--r--,1125899908783835,3693933532,2,0,0,54,1590224630.3391926,b'2020-05-23 09:03:50',1590224630.3391926,b'2020-05-23 09:03:50',1590224630.3381953,b'2020-05-23 09:03:50'
Windows,.\.git\objects\b0\2d8f975e29dfd80f20200bf0ea0bfaee472278,33060,0o100444,-r--r--r--,1125899908783891,3693933532,2,0,0,35111,1590224630.7513373,b'2020-05-23 09:03:50',1590224630.7513373,b'2020-05-23 09:03:50',1590224630.7443554,b'2020-05-23 09:03:50'
Windows,.\.git\objects\b0\a1c012db62e64413a27b0f4c44e47b98762c76,33060,0o100444,-r--r--r--,1125899908783897,3693933532,2,0,0,364,1590224630.7962165,b'2020-05-23 09:03:50',1590224630.7962165,b'2020-05-23 09:03:50',1590224630.7942228,b'2020-05-23 09:03:50'
Windows,.\.git\objects\b0\b75b57727f45dc93641a8f85eeeefc81520a06,33060,0o100444,-r--r--r--,1125899908783845,3693933532,2,0,0,54,1590224630.3942244,b'2020-05-23 09:03:50',1590224630.3942244,b'2020-05-23 09:03:50',1590224630.3942244,b'2020-05-23 09:03:50'
Windows,.\.git\objects\b1\b4aa43415cb91f68f37bd8e078adaa6c93644e,33060,0o100444,-r--r--r--,1125899908783869,3693933532,2,0,0,1289,1590224630.587926,b'2020-05-23 09:03:50',1590224630.587926,b'2020-05-23 09:03:50',1590224630.5869277,b'2020-05-23 09:03:50'
Windows,.\.git\objects\b4\48920181ff15eb3e47507fc028288904961941,33060,0o100444,-r--r--r--,1125899908783859,3693933532,2,0,0,50,1590224630.468642,b'2020-05-23 09:03:50',1590224630.468642,b'2020-05-23 09:03:50',1590224630.468642,b'2020-05-23 09:03:50'
Windows,.\.git\objects\b7\98000b3ac6d855f6fbda65dca4dde9d01a70ae,33060,0o100444,-r--r--r--,1125899908783893,3693933532,2,0,0,2923,1590224630.763305,b'2020-05-23 09:03:50',1590224630.763305,b'2020-05-23 09:03:50',1590224630.7623074,b'2020-05-23 09:03:50'
Windows,.\.git\objects\b9\49703d4d19db75f40b4ae148dc736a3af3c16f,33060,0o100444,-r--r--r--,1125899908783823,3693933532,2,0,0,83,1590224630.268336,b'2020-05-23 09:03:50',1590224630.268336,b'2020-05-23 09:03:50',1590224630.2681804,b'2020-05-23 09:03:50'
Windows,.\.git\objects\c2\ee34101888fe83ed40825d2f00b814de653a7b,33060,0o100444,-r--r--r--,1125899908783883,3693933532,2,0,0,443,1590224630.6597328,b'2020-05-23 09:03:50',1590224630.6597328,b'2020-05-23 09:03:50',1590224630.6587355,b'2020-05-23 09:03:50'
Windows,.\.git\objects\c3\98609b5ebc430758c774db765b6ea43f6e6327,33060,0o100444,-r--r--r--,1125899908783827,3693933532,2,0,0,157,1590224630.2911646,b'2020-05-23 09:03:50',1590224630.2911646,b'2020-05-23 09:03:50',1590224630.290167,b'2020-05-23 09:03:50'
Windows,.\.git\objects\c5\6503ee584c15bbdeb4cdf61a93f331baa878a9,33060,0o100444,-r--r--r--,1125899908783853,3693933532,2,0,0,99,1590224630.4372149,b'2020-05-23 09:03:50',1590224630.4372149,b'2020-05-23 09:03:50',1590224630.4362116,b'2020-05-23 09:03:50'
Windows,.\.git\objects\cc\2ed07ccdd36ca021553fb7da50d09d235f9f9e,33060,0o100444,-r--r--r--,1125899908783885,3693933532,2,0,0,382,1590224630.6697066,b'2020-05-23 09:03:50',1590224630.6697066,b'2020-05-23 09:03:50',1590224630.6687095,b'2020-05-23 09:03:50'
Windows,.\.git\objects\ce\70aa89887bbab88c00ed50f7790c7e89a53c11,33060,0o100444,-r--r--r--,1125899908783833,3693933532,2,0,0,130,1590224630.3282213,b'2020-05-23 09:03:50',1590224630.3282213,b'2020-05-23 09:03:50',1590224630.3282213,b'2020-05-23 09:03:50'
Windows,.\.git\objects\d6\10fbe48ee16941a5ae05e9b9e494d3c8a8f3f8,33060,0o100444,-r--r--r--,1125899908783867,3693933532,2,0,0,5028,1590224630.5729659,b'2020-05-23 09:03:50',1590224630.5729659,b'2020-05-23 09:03:50',1590224630.5709722,b'2020-05-23 09:03:50'
Windows,.\.git\objects\d6\a7725a993e0d7f95db62d0beec5d84bcb212cc,33060,0o100444,-r--r--r--,1970324838915771,3693933532,2,0,0,169,1590224630.1521552,b'2020-05-23 09:03:50',1590224630.1521552,b'2020-05-23 09:03:50',1590224630.151158,b'2020-05-23 09:03:50'
Windows,.\.git\objects\dc\2ea78e1c435e54653e3bab12575c3b8d981089,33060,0o100444,-r--r--r--,1125899908783881,3693933532,2,0,0,580,1590224630.6497614,b'2020-05-23 09:03:50',1590224630.6497614,b'2020-05-23 09:03:50',1590224630.6487627,b'2020-05-23 09:03:50'
Windows,.\.git\objects\e8\763713c92284fccf73e93383bb0259c235b0de,33060,0o100444,-r--r--r--,1125899908783864,3693933532,2,0,0,4532,1590224630.550027,b'2020-05-23 09:03:50',1590224630.550027,b'2020-05-23 09:03:50',1590224630.548032,b'2020-05-23 09:03:50'
Windows,.\.git\objects\f8\3f9ad55482b79d68ad34efbb34943d5e91b2aa,33060,0o100444,-r--r--r--,1125899908783814,3693933532,2,0,0,45,1590224630.2131448,b'2020-05-23 09:03:50',1590224630.2131448,b'2020-05-23 09:03:50',1590224630.2121851,b'2020-05-23 09:03:50'
Windows,.\.git\objects\f8\b4888565caadc7510be75682268d6c18edd6de,33060,0o100444,-r--r--r--,1125899908783862,3693933532,2,0,0,51,1590224630.5340707,b'2020-05-23 09:03:50',1590224630.5340707,b'2020-05-23 09:03:50',1590224630.5340707,b'2020-05-23 09:03:50'
Windows,.\.git\objects\fd\9b076504c79985a0713ff0116994b64fd8ce20,33060,0o100444,-r--r--r--,1125899908783806,3693933532,2,0,0,550,1590224630.1731956,b'2020-05-23 09:03:50',1590224630.1731956,b'2020-05-23 09:03:50',1590224630.172243,b'2020-05-23 09:03:50'
Windows,.\.git\objects\fe\23e5df0deaf4418fa3051dcefac78ed7c617b5,33060,0o100444,-r--r--r--,1125899908783847,3693933532,2,0,0,53,1590224630.4032004,b'2020-05-23 09:03:50',1590224630.4032004,b'2020-05-23 09:03:50',1590224630.4032004,b'2020-05-23 09:03:50'
Windows,.\.git\objects\fe\3e11f164da742c9be1ad3ce970383457711645,33060,0o100444,-r--r--r--,1125899908783890,3693933532,2,0,0,54165,1590224630.721425,b'2020-05-23 09:03:50',1590224630.721425,b'2020-05-23 09:03:50',1590224630.7114446,b'2020-05-23 09:03:50'
Windows,.\.git\refs\heads\master,33206,0o100666,-rw-rw-rw-,844424932073252,3693933532,1,0,0,41,1590224630.990215,b'2020-05-23 09:03:50',1590224630.990215,b'2020-05-23 09:03:50',1590224630.9882195,b'2020-05-23 09:03:50'
Windows,.\.git\refs\remotes\origin\HEAD,33206,0o100666,-rw-rw-rw-,844424932073245,3693933532,1,0,0,32,1590224630.9782465,b'2020-05-23 09:03:50',1590224630.9782465,b'2020-05-23 09:03:50',1590224630.9712653,b'2020-05-23 09:03:50'
Windows,.\.vs\ProjectSettings.json,33206,0o100666,-rw-rw-rw-,844424932073260,3693933532,1,0,0,37,1590224683.577914,b'2020-05-23 09:04:43',1590224683.577914,b'2020-05-23 09:04:43',1590224631.0769832,b'2020-05-23 09:03:51'
Windows,.\.vs\slnx.sqlite,33206,0o100666,-rw-rw-rw-,1125899908783915,3693933532,1,0,0,90112,1590253869.6609528,b'2020-05-23 17:11:09',1590253869.6609528,b'2020-05-23 17:11:09',1590224631.0829668,b'2020-05-23 09:03:51'
Windows,.\.vs\osstat\v16\.suo,33206,0o100666,-rw-rw-rw-,844424932073263,3693933532,1,0,0,36352,1590259117.763381,b'2020-05-23 18:38:37',1590259117.762,b'2020-05-23 18:38:37',1590224631.0799754,b'2020-05-23 09:03:51'
Windows,.\bin\osstat.py,33206,0o100666,-rw-rw-rw-,7036874419765476,3693933532,1,0,0,4017,1590253816.9325662,b'2020-05-23 17:10:16',1590253816.9325662,b'2020-05-23 17:10:16',1590224631.0859582,b'2020-05-23 09:03:51'
Windows,.\doc\README.md,33206,0o100666,-rw-rw-rw-,16044073673513924,3693933532,1,0,0,2263,1590254501.6609933,b'2020-05-23 17:21:41',1590254501.6609933,b'2020-05-23 17:21:41',1590224631.0869584,b'2020-05-23 09:03:51'
Windows,.\flussi\osstat.csv,33206,0o100666,-rw-rw-rw-,562949955420394,3693933532,1,0,0,19739,1590259228.5725112,b'2020-05-23 18:40:28',1590259228.5725112,b'2020-05-23 18:40:28',1590253829.0166285,b'2020-05-23 17:10:29'
Windows,.\log\log.log,33206,0o100666,-rw-rw-rw-,844424932073271,3693933532,1,0,0,540825,1590259215.6696405,b'2020-05-23 18:40:15',1590259215.6696405,b'2020-05-23 18:40:15',1590224631.099921,b'2020-05-23 09:03:51'
